iter	Passed	Remaining
0	0	41
1	0	36
2	1	34
3	1	31
4	1	30
5	1	30
6	2	30
7	2	29
8	2	29
9	3	29
10	3	28
11	3	28
12	4	28
13	4	27
14	4	27
15	5	26
16	5	26
17	5	26
18	6	25
19	6	25
20	6	25
21	6	24
22	7	24
23	7	24
24	7	23
25	8	23
26	8	23
27	8	22
28	9	22
29	9	22
30	9	21
31	10	21
32	10	21
33	10	20
34	11	20
35	11	20
36	11	19
37	12	19
38	12	19
39	12	18
40	12	18
41	13	18
42	13	17
43	13	17
44	14	17
45	14	16
46	14	16
47	14	16
48	15	15
49	15	15
50	15	15
51	16	14
52	16	14
53	16	14
54	17	13
55	17	13
56	17	13
57	17	12
58	18	12
59	18	12
60	18	12
61	19	11
62	19	11
63	19	11
64	20	10
65	20	10
66	20	10
67	20	9
68	21	9
69	21	9
70	21	8
71	22	8
72	22	8
73	22	8
74	23	7
75	23	7
76	23	7
77	24	6
78	24	6
79	24	6
80	25	5
81	25	5
82	25	5
83	25	4
84	26	4
85	26	4
86	27	4
87	27	3
88	28	3
89	28	3
90	28	2
91	29	2
92	29	2
93	29	1
94	30	1
95	30	1
96	30	0
97	30	0
98	31	0
99	31	0
